case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
fft_512,0,73,0.031648,0.03376,,
fft_512,0,74,0.031552,0.033504,,
fft_512,0,75,0.031648,0.033824,,
fft_512,0,76,0.031617,0.03376,,
fft_512,0,77,0.031936,0.033984,,
fft_512,0,78,0.031681,0.033728,,
fft_512,0,79,0.031552,0.033664,,
fft_512,0,80,0.031585,0.033696,,
fft_512,0,81,0.031488,0.033472,,
fft_512,0,82,0.03264,0.034816,,
fft_512,0,83,0.032352,0.034368,,
fft_512,0,84,0.042368,0.037536,,
fft_512,0,85,0.032289,0.0344,,
fft_512,0,86,0.03184,0.033824,,
fft_512,0,87,0.031617,0.0336,,
fft_512,0,88,0.031296,0.03328,,
fft_512,0,89,0.031552,0.033568,,
fft_512,0,90,0.031808,0.033856,,
fft_512,0,91,0.032,0.034016,,
fft_512,0,92,0.031489,0.033632,,
fft_512,0,93,0.031616,0.03344,,
fft_512,0,94,0.031521,0.033568,,
fft_512,0,95,0.033344,0.03568,,
fft_512,0,96,0.032289,0.034432,,
fft_512,0,97,0.031456,0.033568,,
fft_512,0,98,0.031744,0.033856,,
fft_512,0,99,0.031456,0.033536,,
fft_512,0,100,0.03296,0.035168,,
fft_512,0,101,0.032545,0.034656,,
fft_512,0,102,0.032,0.033952,,
fft_512,0,103,0.032097,0.03408,,
fft_512,0,104,0.03168,0.033728,,
fft_512,0,105,0.032161,0.03408,,
fft_512,0,106,0.035296,0.037504,,
fft_512,0,107,0.032384,0.034368,,
fft_512,0,108,0.033025,0.035136,,
fft_512,0,109,0.032,0.03408,,
fft_512,0,110,0.032289,0.034368,,
fft_512,0,111,0.031808,0.033824,,
fft_512,0,112,0.031745,0.033728,,
fft_512,0,113,0.031264,0.033248,,
fft_512,0,114,0.032001,0.034144,,
fft_512,0,115,0.03168,0.0336,,
fft_512,0,116,0.031936,0.034016,,
fft_512,0,117,0.031905,0.033888,,
fft_512,0,118,0.031488,0.033504,,
fft_512,0,119,0.031809,0.033856,,
fft_512,0,120,0.032256,0.034368,,
fft_512,0,121,0.032993,0.035232,,
fft_512,0,122,0.03232,0.034368,,
fft_512,0,123,0.031745,0.033856,,
