accepted,expected_hops,completed_hops,dropped_hops,late_hops,late_percent,age_p99_ms,age_max_ms,service_p95_ms,service_median_ms,replay_expected,replay_completed,replay_dropped,replay_late,people,beams_per_person,candidate_beams,selected_streams,origin_ns,elapsed_s,process_cpu_percent_one_core,shared_history_bytes,backend,threads,modeled_live_access_MB_s,sampled_rss_peak_bytes,sampled_rss_increase_bytes,cupy_reserved_bytes,cupy_used_bytes,directory
True,1500,1500,0,1,0.06666666666666667,4.47360854,11.783687,3.0514989999999993,1.365988,0,0,0,0,4,1,4,4,14502852374555,14.992373103,21.843880998701483,1169408,cpu,8,50.891476269845874,62312448,7630848,,,cpu_8t_people4_beams1_round1
True,1500,1500,0,2,0.13333333333333333,4.43665022,20.797632,3.1473906,1.3917955,0,0,0,0,4,1,4,4,14519674669386,14.993188103,19.852069093016514,1169408,cpu,8,50.888709910024666,63565824,7753728,,,cpu_8t_people4_beams1_round2
False,1500,1500,0,59,3.933333333333333,10.834738730000002,28.236557,6.689425899999889,2.579988,0,0,0,0,4,4,16,4,14536480539330,14.993962553,34.29890143518758,1169408,cpu,8,139.57297763033836,64614400,9805824,,,cpu_8t_people4_beams4_round0
False,1500,1500,0,60,4.0,10.80934511,11.256279,3.9703598999998757,2.7496229999999997,0,0,0,0,4,4,16,4,14553322902091,14.993002025,37.22824531096213,1169408,cpu,8,139.58191938548742,63475712,9801728,,,cpu_8t_people4_beams4_round1
False,1500,1500,0,58,3.8666666666666667,10.73781437,11.895441,4.081540099999946,2.753079,0,0,0,0,4,4,16,4,14570119387096,14.993234179,35.68648241542474,1169408,cpu,8,139.5797581105733,64634880,9965568,,,cpu_8t_people4_beams4_round2
True,1500,1500,0,0,0.0,6.56673938,7.243144,3.8286518999999646,1.658423,0,0,0,0,8,1,8,8,14586938290787,14.993216785,24.852022047091705,1169408,cpu,8,85.37940979287988,62181376,8364032,,,cpu_8t_people8_beams1_round0
True,1500,1500,0,0,0.0,6.74515549,8.504706,3.7341420499999693,2.243759,0,0,0,0,8,1,8,8,14603778362131,14.992812751,29.038742423418203,1169408,cpu,8,85.3817106409615,71196672,8429568,,,cpu_8t_people8_beams1_round1
True,1500,1500,0,0,0.0,6.80547741,7.500347,3.4109942999999934,2.407282,0,0,0,0,8,1,8,8,14620615380045,14.992292384,30.07526978276292,1169408,cpu,8,85.38467415204327,70496256,10784768,,,cpu_8t_people8_beams1_round2
False,1500,1500,0,147,9.8,18.299906,21.362327,5.393634449999641,2.9211925,0,0,0,0,8,4,32,8,14637469451648,14.99434929,42.84142339266307,1169408,cpu,8,262.7421786570906,67919872,16011264,,,cpu_8t_people8_beams4_round0
False,1500,1500,0,144,9.6,18.46955759,20.780175,4.685206899999768,3.101547,0,0,0,0,8,4,32,8,14654372490491,14.9950653,42.3140910129516,1169408,cpu,8,262.72963279459674,76267520,12173312,,,cpu_8t_people8_beams4_round1
False,1500,1500,0,146,9.733333333333333,18.69232896,19.714638,5.831461549999817,3.4585435,0,0,0,0,8,4,32,8,14671282683598,14.993245262,44.93137491465304,1169408,cpu,8,262.7615256841651,74772480,14000128,,,cpu_8t_people8_beams4_round2
False,1500,1500,0,58,3.8666666666666667,10.8327598,11.448645,5.0430956499999935,2.3804800000000004,0,0,0,0,16,1,16,16,14688155472587,14.993334903,35.26263633831699,1169408,cpu,8,154.35978819741567,77975552,9760768,,,cpu_8t_people16_beams1_round0
False,1500,1500,0,57,3.8,10.86103426,11.553884,4.106887149999881,2.409761,0,0,0,0,16,1,16,16,14705015103736,14.992943212,35.52652900887651,1169408,cpu,8,154.36382085057417,68194304,11620352,,,cpu_8t_people16_beams1_round1
False,1500,1500,0,47,3.1333333333333333,10.75387971,12.240927,4.789500399999853,2.820167,0,0,0,0,16,1,16,16,14721840357576,14.993344671,34.476263633034456,1169408,cpu,8,154.35968763370263,69402624,9703424,,,cpu_8t_people16_beams1_round2
False,1500,1500,0,202,13.466666666666667,25.160387359999998,27.578636,6.09247829999946,3.9601655,0,0,0,0,16,4,64,16,14738749223515,14.998810565,52.76097640876909,1169408,cpu,8,508.93635644767545,75354112,18440192,,,cpu_8t_people16_beams4_round0
False,1500,1500,0,223,14.866666666666667,26.09225497,27.512219,7.230782299999502,4.1186799999999995,0,0,0,0,16,4,64,16,14755635157843,15.000262374,52.59343474087397,1169408,cpu,8,508.8870987504235,73838592,16117760,,,cpu_8t_people16_beams4_round1
False,1500,1500,0,210,14.0,26.05855282,28.568491,6.597892299999325,3.9686135,0,0,0,0,16,4,64,16,14772516136698,14.998549933,52.375254672984575,1169408,cpu,8,508.94520030931847,79007744,18427904,,,cpu_8t_people16_beams4_round2
False,1500,1500,0,141,9.4,18.65135611,19.710926,6.191113449999727,3.7136985,0,0,0,0,32,1,32,32,14789434021496,14.994033916,49.159433123415724,1169408,cpu,8,292.3082623764821,75866112,14073856,,,cpu_8t_people32_beams1_round0
False,1500,1500,0,148,9.866666666666667,18.955735400000002,20.605693,6.342465349999786,3.3769419999999997,0,0,0,0,32,1,32,32,14806354308970,14.994130809,49.074521869906185,1169408,cpu,8,292.3063734624246,69664768,14573568,,,cpu_8t_people32_beams1_round1
False,1500,1500,0,150,10.0,19.48240509,20.972589,6.031388299999857,4.2863299999999995,0,0,0,0,32,1,32,32,14823306360748,14.995633527,50.297728084494494,1169408,cpu,8,292.2770813322771,66404352,13910016,,,cpu_8t_people32_beams1_round2
False,1500,1500,0,319,21.266666666666666,31.65071385,37.403863,9.30744984999905,4.348506499999999,0,0,0,0,32,4,128,32,14840263929547,14.996451001,59.76137612386061,1169408,cpu,8,1001.6385876230557,87080960,26472448,,,cpu_8t_people32_beams4_round0
False,1500,1500,0,344,22.933333333333334,31.8059971,38.803559,9.918242149999022,4.684143000000001,0,0,0,0,32,4,128,32,14857344781986,14.997247783,60.47588345212803,1169408,cpu,8,1001.5853720191882,82685952,24137728,,,cpu_8t_people32_beams4_round1
False,1500,1500,0,319,21.266666666666666,30.93811566,34.13367,7.802748949998967,4.581740999999999,0,0,0,0,32,4,128,32,14874389256734,14.996792626,63.360892789378696,1169408,cpu,8,1001.6157704253368,81944576,26337280,,,cpu_8t_people32_beams4_round2
False,1500,1500,0,193,12.866666666666667,24.128499469999998,26.717448,7.640104049999425,4.446203000000001,0,0,0,0,64,1,64,64,14891366648022,14.997020117,57.31126474840747,1169408,cpu,8,568.1064593853675,69492736,15814656,,,cpu_8t_people64_beams1_round0
False,1500,1500,0,215,14.333333333333334,24.9110491,26.258577,9.071381299999558,4.350298,0,0,0,0,64,1,64,64,14908393367856,14.998375281,58.13556834302077,1169408,cpu,8,568.0551286640392,72712192,18026496,,,cpu_8t_people64_beams1_round1
False,1500,1500,0,184,12.266666666666667,24.25037369,26.28426,8.023689299999528,4.19252,0,0,0,0,64,1,64,64,14925428890425,14.998610412,56.51988040847687,1169408,cpu,8,568.046223347694,76349440,16175104,,,cpu_8t_people64_beams1_round2
False,1500,1424,76,1063,70.86666666666666,58.017680649999996,60.294778,56.55434535,6.9883325,0,0,0,0,64,4,256,64,14942557166811,14.999978815,97.98822266315595,1169408,cpu,8,1885.770548136604,102129664,41021440,,,cpu_8t_people64_beams4_round0
False,1500,1415,85,1082,72.13333333333334,60.25966131999998,66.436148,56.4669471,7.107966,0,0,0,0,64,4,256,64,14959871860503,14.999227518,98.28164215279025,1169408,cpu,8,1873.945913965834,98267136,41832448,,,cpu_8t_people64_beams4_round1
False,1500,1410,90,1116,74.4,60.60575256,66.688905,57.6905406,7.1311985,0,0,0,0,64,4,256,64,14977216318068,15.000279391,99.72504133694191,1169408,cpu,8,1867.1932535339802,96653312,41734144,,,cpu_8t_people64_beams4_round2
True,1500,1500,0,0,0.0,7.36813382,9.966982,6.13785225,4.096598,0,0,0,0,1,1,1,1,14997575812419,15.0503183,42.02597249887109,1169408,gpu,4,24.925585793092495,1387962368,1261477888,276480,0,gpu_4t_people1_beams1_round0
True,1500,1500,0,0,0.0,7.868888719999999,9.687213,6.154162599999999,4.119942,0,0,0,0,1,1,1,1,15018282339483,15.057170085,42.26705234715043,1169408,gpu,4,24.914243372578603,1366818816,1242292224,276480,0,gpu_4t_people1_beams1_round1
True,1500,1500,0,0,0.0,7.55347031,9.317978,6.05932385,4.156999,0,0,0,0,1,1,1,1,15038080231806,15.052065839,42.3571226095487,1169408,gpu,4,24.92269194225918,1370198016,1242767360,276480,0,gpu_4t_people1_beams1_round2
True,1500,1500,0,4,0.26666666666666666,8.33615985,23.252746,6.2325994499999995,3.9617639999999996,0,0,0,0,1,4,4,1,15058201961032,15.061003066,42.294650408616356,1169408,gpu,4,46.98093459640493,1366966272,1241690112,604160,0,gpu_4t_people1_beams4_round0
True,1500,1500,0,1,0.06666666666666667,7.3857617399999995,10.661304,5.9574924,3.9952525000000003,0,0,0,0,1,4,4,1,15077943650336,15.055112884,42.205523288428274,1169408,gpu,4,46.999315478530164,1368731648,1241137152,604160,0,gpu_4t_people1_beams4_round1
True,1500,1500,0,0,0.0,7.76051397,9.775661,6.03903105,3.9994125,0,0,0,0,1,4,4,1,15097689646008,15.069088575,42.34967789386074,1169408,gpu,4,46.9557263850644,1368825856,1240928256,604160,0,gpu_4t_people1_beams4_round2
True,1500,1500,0,1,0.06666666666666667,6.929162239999999,15.283309,5.8245864,3.9909964999999996,0,0,0,0,2,1,2,2,15117428964083,15.053650035,41.72424875706543,1169408,gpu,4,33.508152429956496,1366790144,1235959808,408064,0,gpu_4t_people2_beams1_round0
True,1500,1500,0,0,0.0,7.16899438,9.43678,5.9376386499999985,3.9634275,0,0,0,0,2,1,2,2,15137477759713,15.0569841,41.92645789572255,1169408,gpu,4,33.50073272641631,1360891904,1238134784,408064,0,gpu_4t_people2_beams1_round1
