case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
replay_750_1_batch,4,24,1.959449,1.96448,1.9372800588607788,10
replay_750_1_batch,4,25,1.990138,1.984448,1.9687680006027222,10
replay_750_1_batch,4,26,1.969466,1.974976,1.9480639696121216,10
replay_750_1_batch,4,27,1.991482,1.986432,1.97052800655365,10
replay_750_1_batch,4,28,1.964858,1.970752,1.943519949913025,10
replay_750_1_batch,4,29,1.999674,1.990784,1.977952003479004,10
replay_750_1_batch,4,30,1.992441,1.99792,1.9716160297393799,10
replay_750_1_batch,4,31,1.988857,1.980256,1.9678720235824585,10
replay_750_1_batch,4,32,1.963449,1.968992,1.9424959421157837,10
replay_750_1_batch,4,33,1.977401,1.968032,1.9572160243988037,10
replay_750_1_batch,4,34,1.961657,1.966912,1.9411519765853882,10
replay_750_1_batch,4,35,1.986554,1.97984,1.9649920463562012,10
replay_750_1_batch,4,36,1.943257,1.94848,1.921280026435852,10
replay_750_1_batch,4,37,1.984601,1.974368,1.9625600576400757,10
replay_750_1_batch,4,38,1.967673,1.972992,1.9458880424499512,10
replay_750_1_batch,4,39,1.989721,1.977312,1.9682879447937012,10
replay_750_1_sequential,4,0,103.700687,103.425728,103.67833709716797,10
replay_750_1_sequential,4,1,103.711855,103.396192,103.69136047363281,10
replay_750_1_sequential,4,2,103.781903,103.508192,103.76204681396484,10
replay_750_1_sequential,4,3,103.597678,103.2944,103.57769775390625,10
replay_750_1_sequential,4,4,103.797423,103.514144,103.77721405029297,10
replay_750_1_sequential,4,5,103.694255,103.402272,103.67414093017578,10
replay_750_1_sequential,4,6,103.83736,103.560768,103.81734466552734,10
replay_750_1_sequential,4,7,103.404939,103.09536,103.38448333740234,10
replay_750_1_sequential,4,8,103.851089,103.565216,103.8311996459961,10
replay_750_1_sequential,4,9,103.668303,103.381984,103.64816284179688,10
replay_750_1_sequential,4,10,103.974034,103.683424,103.95478057861328,10
replay_750_1_sequential,4,11,103.629294,103.32864,103.60972595214844,10
replay_750_1_sequential,4,12,103.635054,103.335936,103.61491394042969,10
replay_750_1_sequential,4,13,103.388714,103.09664,103.36908721923828,10
replay_750_1_sequential,4,14,103.713775,103.404288,103.69395446777344,10
replay_750_1_sequential,4,15,103.774031,103.475232,103.7543716430664,10
replay_750_1_sequential,4,16,103.646286,103.335136,103.62703704833984,10
replay_750_1_sequential,4,17,103.367178,103.10192,103.34697723388672,10
replay_750_1_sequential,4,18,103.62491,103.308672,103.60399627685547,10
replay_750_1_sequential,4,19,103.368138,103.093088,103.34780883789062,10
replay_750_1_sequential,4,20,103.526316,103.215808,103.50640106201172,10
replay_750_1_sequential,4,21,103.710671,103.422112,103.68998718261719,10
replay_750_1_sequential,4,22,103.48254,103.209024,103.46185302734375,10
replay_750_1_sequential,4,23,103.399083,103.1264,103.37939453125,10
replay_750_1_sequential,4,24,103.601261,103.318304,103.5816650390625,10
replay_750_1_sequential,4,25,103.408298,103.101568,103.38854217529297,10
replay_750_1_sequential,4,26,103.343754,103.041344,103.32313537597656,10
