stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,1193,13195591847738,13195591987412,13195592088565,13195596277899,0.101153,4.189334,4.430161,0.139674,4.167616,0,480
live,1194,13195601847738,13195601986291,13195602074196,13195606175176,0.087905,4.10098,4.327438,0.138553,4.056992,0,480
live,1195,13195611847738,13195611969394,13195612023603,13195614771702,0.054209,2.748099,2.923964,0.121656,2.731936,0,480
live,1196,13195621847738,13195621957617,13195622029138,13195626144646,0.071521,4.115508,4.296908,0.109879,4.101216,0,480
live,1197,13195631847738,13195631987153,13195632104498,13195636131077,0.117345,4.026579,4.283339,0.139415,4.004992,0,480
live,1198,13195641847738,13195641974832,13195642025584,13195644822836,0.050752,2.797252,2.975098,0.127094,2.766368,0,480
live,1199,13195651847738,13195651966639,13195652061520,13195656170692,0.094881,4.109172,4.322954,0.118901,4.095712,0,480
live,1200,13195661847738,13195662011150,13195662100656,13195667756152,0.089506,5.655496,5.908414,0.163412,5.645184,0,480
live,1201,13195671847738,13195671971789,13195672034286,13195674835698,0.062497,2.801412,2.98796,0.124051,2.784384,0,480
live,1202,13195681847738,13195681953260,13195682005229,13195685829565,0.051969,3.824336,3.981827,0.105522,3.814944,0,480
live,1203,13195691847738,13195691989420,13195692080237,13195698732769,0.090817,6.652532,6.885031,0.141682,4.526176,0,480
live,1204,13195701847738,13195701966923,13195702030123,13195705222740,0.0632,3.192617,3.375002,0.119185,2.978816,0,480
live,1205,13195711847738,13195711959786,13195712026699,13195715693497,0.066913,3.666798,3.845759,0.112048,3.672064,0,480
live,1206,13195721847738,13195721969129,13195722021322,13195725078385,0.052193,3.057063,3.230647,0.121391,2.763968,0,480
live,1207,13195731847738,13195731958504,13195732032969,13195735791417,0.074465,3.758448,3.943679,0.110766,3.765888,0,480
live,1208,13195741847738,13195741981287,13195742062953,13195745295986,0.081666,3.233033,3.448248,0.133549,2.895168,0,480
live,1209,13195751847738,13195751969511,13195752037095,13195754855883,0.067584,2.818788,3.008145,0.121773,2.804768,0,480
live,1210,13195761847738,13195761965254,13195762041927,13195766245436,0.076673,4.203509,4.397698,0.117516,4.189184,0,480
live,1211,13195771847738,13195771993605,13195772104007,13195777927569,0.110402,5.823562,6.079831,0.145867,4.3584,0,480
live,1212,13195781847738,13195782029317,13195782121830,13195786719808,0.092513,4.597978,4.87207,0.181579,4.577344,0,480
live,1213,13195791847738,13195792040068,13195792103909,13195795360238,0.063841,3.256329,3.5125,0.19233,3.013664,0,480
live,1214,13195801847738,13195801955458,13195802000771,13195805193867,0.045313,3.193096,3.346129,0.10772,3.165568,0,480
live,1215,13195811847738,13195811988226,13195812084259,13195816988033,0.096033,4.903774,5.140295,0.140488,4.26112,0,480
live,1216,13195821847738,13195822062146,13195822155139,13195827975373,0.092993,5.820234,6.127635,0.214408,4.147008,0,480
live,1217,13195831847738,13195831988640,13195832050305,13195834811396,0.061665,2.761091,2.963658,0.140902,2.745312,0,480
live,1218,13195841847738,13195841966527,13195842040032,13195846106100,0.073505,4.066068,4.258362,0.118789,4.056032,0,480
live,1219,13195851847738,13195851991775,13195852095840,13195856146771,0.104065,4.050931,4.299033,0.144037,4.036736,0,480
live,1220,13195861847738,13195861971261,13195862028638,13195866025521,0.057377,3.996883,4.177783,0.123523,3.971264,0,480
live,1221,13195871847738,13195871960700,13195872049470,13195876138834,0.08877,4.089364,4.291096,0.112962,4.07872,0,480
live,1222,13195881847738,13195881985564,13195882032573,13195884790784,0.047009,2.758211,2.943046,0.137826,2.731776,0,480
live,1223,13195891847738,13195891964955,13195892058844,13195896298546,0.093889,4.239702,4.450808,0.117217,4.224192,0,480
live,1224,13195901847738,13195902003547,13195902078907,13195906155375,0.07536,4.076468,4.307637,0.155809,4.043136,0,480
live,1225,13195911847738,13195911975865,13195912036570,13195914759325,0.060705,2.722755,2.911587,0.128127,2.705856,0,480
live,1226,13195921847738,13195921959576,13195922021369,13195925843978,0.061793,3.822609,3.99624,0.111838,3.810048,0,480
live,1227,13195931847738,13195931989304,13195932075737,13195936185101,0.086433,4.109364,4.337363,0.141566,4.091264,0,480
live,1228,13195941847738,13195941962679,13195942015159,13195944771994,0.05248,2.756835,2.924256,0.114941,2.727264,0,480
live,1229,13195951847738,13195951962934,13195952034999,13195955775046,0.072065,3.740047,3.927308,0.115196,3.746592,0,480
live,1230,13195961847738,13195961975925,13195962049494,13195966116298,0.073569,4.066804,4.26856,0.128187,4.00928,0,480
live,1231,13195971847738,13195971975476,13195972040789,13195974846745,0.065313,2.805956,2.999007,0.127738,2.789088,0,480
live,1232,13195981847738,13195981948275,13195982005172,13195986062152,0.056897,4.05698,4.214414,0.100537,4.043968,0,480
live,1233,13195991847738,13195991992755,13195992118581,13195998002879,0.125826,5.884298,6.155141,0.145017,4.719872,0,480
live,1234,13196001847738,13196001999634,13196002075219,13196005230491,0.075585,3.155272,3.382753,0.151896,2.866464,0,480
live,1235,13196011847738,13196011974769,13196012055218,13196014895286,0.080449,2.840068,3.047548,0.127031,2.824512,0,480
live,1236,13196021847738,13196021975760,13196022053137,13196026200390,0.077377,4.147253,4.352652,0.128022,4.136,0,480
live,1237,13196031847738,13196031997808,13196032063280,13196034829588,0.065472,2.766308,2.98185,0.15007,2.751808,0,480
live,1238,13196041847738,13196041977839,13196042052592,13196045912993,0.074753,3.860401,4.065255,0.130101,3.846176,0,480
live,1239,13196051847738,13196051997838,13196052094991,13196056284453,0.097153,4.189462,4.436715,0.1501,4.169952,0,480
live,1240,13196061847738,13196062042318,13196062153583,13196068031706,0.111265,5.878123,6.183968,0.19458,5.855744,0,480
live,1241,13196071847738,13196072048493,13196072114350,13196075335735,0.065857,3.221385,3.487997,0.200755,2.940672,0,480
live,1242,13196081847738,13196081976523,13196082046476,13196085982366,0.069953,3.93589,4.134628,0.128785,3.922112,0,480
