baseline,candidate,baseline_case,candidate_case,boundary,baseline_median_ms,candidate_median_ms,speedup_median,time_reduction_percent,baseline_p95_ms,candidate_p95_ms,speedup_p95
cpu_1t,gpu_1t,stream_1_replay750_live_age,stream_1_replay750_live_age,host_input_output,0.9928385,4.222856999999999,0.23511061350171225,-325.33171306310135,2.408888949999997,7.81194205,0.30835980791741757
cpu_1t,gpu_1t,stream_1_replay750_live_service,stream_1_replay750_live_service,host_input_output,0.740761,3.985829,0.18584866535920133,-438.0721987253648,1.6441256,7.1120518,0.23117458171494196
cpu_1t,gpu_1t,stream_1_replay750_replay_age,stream_1_replay750_replay_age,host_input_output,26.133147,9.506995,2.7488335693875934,63.6209332155825,32.5998,11.2019958,2.9101778452728935
cpu_1t,gpu_1t,stream_1_replay750_replay_service,stream_1_replay750_replay_service,host_input_output,25.263021,8.670131,2.9137992263323356,65.68054548978921,31.6799331,10.1378854,3.124905426530073
cpu_1t,gpu_1t,stream_4_baseline_live_age,stream_4_baseline_live_age,host_input_output,1.167432,4.267621500000001,0.2735556562361493,-265.55632362313185,3.2527567,7.275058849999998,0.44711070619036997
cpu_1t,gpu_1t,stream_4_baseline_live_service,stream_4_baseline_live_service,host_input_output,0.908715,4.0466940000000005,0.22455737943120976,-345.3204800184877,2.98381425,6.971355399999999,0.428010634775556
cpu_1t,gpu_1t,stream_4_replay750_live_age,stream_4_replay750_live_age,host_input_output,1.188462,4.3273335,0.27464072274531187,-264.11206248075246,3.624066549999999,7.524183249999998,0.4816558062963179
cpu_1t,gpu_1t,stream_4_replay750_live_service,stream_4_replay750_live_service,host_input_output,0.9360275,4.087590499999999,0.2289924834691734,-336.6955564873894,3.11080185,6.8596846,0.4534905074207057
cpu_1t,gpu_1t,stream_4_replay750_replay_age,stream_4_replay750_replay_age,host_input_output,44.658109,8.152518,5.477830162411172,81.74459648526542,53.1584214,10.935923399999998,4.860899208566147
cpu_1t,gpu_1t,stream_4_replay750_replay_service,stream_4_replay750_replay_service,host_input_output,43.769066,7.272961,6.018053169816255,83.38333059243257,52.1377132,10.068123099999998,5.178493814800498
cpu_1t,gpu_1t,weights_das_1,weights_das_1,resident,0.251011,0.796378,0.315190776239424,-217.26816753050664,0.2674414,0.9064945499999998,0.29502813888952784
cpu_1t,gpu_1t,weights_das_4,weights_das_4,resident,0.801961,0.790443,1.0145715756860394,1.4362294425788846,0.9900584,0.8393528,1.1795497673922097
cpu_1t,gpu_1t,weights_mvdr_1,weights_mvdr_1,resident,5.02134,2.277328,2.2049261239487685,54.64700657593393,6.261250999999999,2.9002315999999997,2.158879656369512
cpu_1t,gpu_1t,weights_mvdr_4,weights_mvdr_4,resident,5.4763695,2.2583665,2.424925050916226,58.761612049734765,7.1978588,3.0949645999999964,2.325667569832627
cpu_1t,gpu_4t,audio_resident_1,audio_transfer_1,host_input_output,0.281875,2.28331,0.12345016664403868,-710.0434589800445,0.3425112,2.3239708,0.14738188620958576
cpu_1t,gpu_4t,audio_resident_1,audio_resident_1,resident,0.281875,1.9391935,0.14535681972943906,-587.9622172949003,0.3425112,1.9769530499999999,0.17325206584951527
cpu_1t,gpu_4t,audio_resident_4,audio_transfer_4,host_input_output,0.356516,2.308254,0.15445267288608622,-547.4475198869054,0.47062264999999937,2.34859,0.2003851885599442
cpu_1t,gpu_4t,audio_resident_4,audio_resident_4,resident,0.356516,1.9600415,0.1818920670812327,-449.77658786702426,0.47062264999999937,1.99357,0.23607029098551813
cpu_1t,gpu_4t,beam_apply_1,beam_apply_1,resident,0.026721,0.9246840000000001,0.02889743955772999,-3360.5142023127873,0.029863999999999995,1.0878246,0.027452955191489506
cpu_1t,gpu_4t,beam_apply_4,beam_apply_4,resident,0.076161,0.8910834999999999,0.08547010465349208,-1069.9997373984058,0.0779242,1.0909931499999999,0.07142501307180527
cpu_1t,gpu_4t,beam_select_1,beam_select_1,resident,0.1175375,1.5541800000000001,0.07562669703637931,-1222.2843773263853,0.12589955,1.5870354,0.07933001998569156
cpu_1t,gpu_4t,beam_select_4,beam_select_4,resident,0.191026,1.579765,0.12092051665912334,-726.9895197512382,0.21282054999999994,1.616669,0.131641387321709
cpu_1t,gpu_4t,fft_1024,fft_1024,resident,0.04704,0.074497,0.6314348228787737,-58.36947278911562,0.04909055,0.08074275,0.6079870948165624
cpu_1t,gpu_4t,fft_2048,fft_2048,resident,0.079265,0.074657,1.0617222765447312,5.8134107109064415,0.09588419999999999,0.08074985,1.187422639175181
cpu_1t,gpu_4t,fft_4096,fft_4096,resident,0.1555055,0.076225,2.040085273860282,50.98244113552253,0.20599334999999996,0.08230660000000001,2.5027561580723776
cpu_1t,gpu_4t,fft_512,fft_512,resident,0.031424,0.073809,0.4257475375631698,-134.88098268839104,0.03896574999999998,0.08099619999999999,0.4810812112173162
cpu_1t,gpu_4t,replay_1000_1_batch,replay_transfer_1000_1_batch,host_input_output,13.030475,2.754292,4.730970790315624,78.86268919590422,17.102623549999993,2.8815298499999997,5.935258158092652
cpu_1t,gpu_4t,replay_1000_1_batch,replay_1000_1_batch,resident,13.030475,1.978729,6.585275194329289,84.81460576072631,17.102623549999993,2.02836045,8.431747695534092
cpu_1t,gpu_4t,replay_1000_1_sequential,replay_transfer_1000_1_sequential,host_input_output,18.177945,139.6320895,0.13018458052939186,-668.140125300192,24.49230645,140.7043659,0.1740692713643792
cpu_1t,gpu_4t,replay_1000_1_sequential,replay_1000_1_sequential,resident,18.177945,138.035464,0.13169039660706325,-659.3568139852991,24.49230645,138.7284308,0.17654857269530938
cpu_1t,gpu_4t,replay_1000_4_batch,replay_transfer_1000_4_batch,host_input_output,21.086076,2.7415399999999996,7.6913253135099255,86.99833956777923,26.164244899999996,2.78825295,9.38374149303778
cpu_1t,gpu_4t,replay_1000_4_batch,replay_1000_4_batch,resident,21.086076,1.972074,10.692335074647298,90.64750596554806,26.164244899999996,2.0113764499999998,13.00812928380463
cpu_1t,gpu_4t,replay_1000_4_sequential,replay_transfer_1000_4_sequential,host_input_output,25.7603395,139.28042349999998,0.18495305264490386,-440.6777480553002,34.06005655,140.3887522,0.24261243166744237
cpu_1t,gpu_4t,replay_1000_4_sequential,replay_1000_4_sequential,resident,25.7603395,137.8212575,0.18691122086155687,-435.0133584225472,34.06005655,138.4298764,0.2460455606532637
cpu_1t,gpu_4t,replay_500_1_batch,replay_transfer_500_1_batch,host_input_output,5.440593,2.5653604999999997,2.1207908206273545,52.84777780657366,7.484853849999999,2.6260852,2.850194597646717
cpu_1t,gpu_4t,replay_500_1_batch,replay_500_1_batch,resident,5.440593,1.9863140000000001,2.739039749002423,63.49085476528018,7.484853849999999,2.0235172,3.6989326554773037
cpu_1t,gpu_4t,replay_500_1_sequential,replay_transfer_500_1_sequential,host_input_output,9.1721575,71.3517365,0.12854848318933346,-677.9166079518368,12.780448149999996,72.32622085,0.17670559860311016
cpu_1t,gpu_4t,replay_500_1_sequential,replay_500_1_sequential,resident,9.1721575,69.749537,0.13150133885476545,-660.4485313297336,12.780448149999996,70.33709234999999,0.1817028216976046
cpu_1t,gpu_4t,replay_500_4_batch,replay_transfer_500_4_batch,host_input_output,9.2444465,2.558642,3.6130285127813897,72.32238836581509,13.08423605,2.60137575,5.029737072777741
cpu_1t,gpu_4t,replay_500_4_batch,replay_500_4_batch,resident,9.2444465,1.9770975000000002,4.675766622536319,78.61313276030101,13.08423605,2.0119492,6.503263626139268
cpu_1t,gpu_4t,replay_500_4_sequential,replay_transfer_500_4_sequential,host_input_output,12.929514000000001,71.10146900000001,0.18184594751481153,-449.91602159214955,17.0471182,72.17525555,0.23619061782455994
cpu_1t,gpu_4t,replay_500_4_sequential,replay_500_4_sequential,resident,12.929514000000001,70.05851100000001,0.18455308021034017,-441.8495312352808,17.0471182,70.81696425,0.24072082700156128
cpu_1t,gpu_4t,replay_750_1_batch,replay_transfer_750_1_batch,host_input_output,8.18989,2.6707704999999997,3.066489614139441,67.38942159174299,11.364710499999997,2.727772,4.166297806414905
cpu_1t,gpu_4t,replay_750_1_batch,replay_750_1_batch,resident,8.18989,1.986138,4.123525152834294,75.7489050524488,11.364710499999997,2.0155027999999997,5.63864783517046
cpu_1t,gpu_4t,replay_750_1_sequential,replay_transfer_750_1_sequential,host_input_output,13.676883,105.09594799999999,0.13013711051923715,-668.4203191619025,17.951233249999998,106.42990985,0.16866718458467245
cpu_1t,gpu_4t,replay_750_1_sequential,replay_750_1_sequential,resident,13.676883,103.7080535,0.1318786973472605,-658.272579358908,17.951233249999998,104.2690618,0.17216260451669277
cpu_1t,gpu_4t,replay_750_4_batch,replay_transfer_750_4_batch,host_input_output,13.5392495,2.6543384999999997,5.100799879141263,80.39523165593485,17.7425624,2.6982405,6.5756045096795495
cpu_1t,gpu_4t,replay_750_4_batch,replay_750_4_batch,resident,13.5392495,1.980441,6.836482126960612,85.37259395360135,17.7425624,2.0822238000000004,8.520968015061587
cpu_1t,gpu_4t,replay_750_4_sequential,replay_transfer_750_4_sequential,host_input_output,19.2455895,105.23920749999999,0.1828747095040601,-446.822468077686,23.5954628,106.2130432,0.22215221491742362
cpu_1t,gpu_4t,replay_750_4_sequential,replay_750_4_sequential,resident,19.2455895,104.0490345,0.18496653613830508,-440.63833430511437,23.5954628,104.5498856,0.22568616564798996
cpu_1t,gpu_4t,stream_1_baseline_live_age,stream_1_baseline_live_age,host_input_output,0.9988885000000001,4.224428,0.23645532602283673,-322.9128676523956,1.83639545,5.9338006000000005,0.3094804786665733
cpu_1t,gpu_4t,stream_1_baseline_live_service,stream_1_baseline_live_service,host_input_output,0.7588090000000001,4.0164670000000005,0.1889244950848594,-429.3119876016231,1.5431213499999998,5.71444645,0.27003864040059383
cpu_1t,gpu_4t,stream_1_replay750_live_age,stream_1_replay750_live_age,host_input_output,0.9928385,4.009098,0.2476463533692616,-303.8016253398715,2.408888949999997,6.03454435,0.3991832374220594
cpu_1t,gpu_4t,stream_1_replay750_live_service,stream_1_replay750_live_service,host_input_output,0.740761,3.8236005,0.19373389034759253,-416.1719501971621,1.6441256,5.623871999999999,0.2923476209984865
cpu_1t,gpu_4t,stream_1_replay750_replay_age,stream_1_replay750_replay_age,host_input_output,26.133147,13.139063,1.9889658037258822,49.72261473139841,32.5998,16.549564999999998,1.9698282099861844
cpu_1t,gpu_4t,stream_1_replay750_replay_service,stream_1_replay750_replay_service,host_input_output,25.263021,11.85295,2.131369912131579,53.08181867877163,31.6799331,15.183639099999997,2.086451929695827
cpu_1t,gpu_4t,stream_4_baseline_live_age,stream_4_baseline_live_age,host_input_output,1.167432,4.0777719999999995,0.2862916318028571,-249.29417730540186,3.2527567,5.78483025,0.5622907776766657
cpu_1t,gpu_4t,stream_4_baseline_live_service,stream_4_baseline_live_service,host_input_output,0.908715,3.8928495,0.23343183444415203,-328.39058450669353,2.98381425,5.5308044,0.5394901056345438
cpu_1t,gpu_4t,stream_4_replay750_live_age,stream_4_replay750_live_age,host_input_output,1.188462,4.068866,0.29208678781753933,-242.36399649294634,3.624066549999999,6.10239865,0.59387574589215
cpu_1t,gpu_4t,stream_4_replay750_live_service,stream_4_replay750_live_service,host_input_output,0.9360275,3.865953,0.24212076556543755,-313.0170320850616,3.11080185,5.7597562,0.5400926257955154
cpu_1t,gpu_4t,stream_4_replay750_replay_age,stream_4_replay750_replay_age,host_input_output,44.658109,11.714543,3.81219386876637,73.76838549075153,53.1584214,15.874086399999996,3.348754697467189
cpu_1t,gpu_4t,stream_4_replay750_replay_service,stream_4_replay750_replay_service,host_input_output,43.769066,10.597319,4.130201799153163,75.78810797561913,52.1377132,14.790197899999995,3.5251531827035265
cpu_1t,gpu_4t,weights_das_1,weights_das_1,resident,0.251011,0.795034,0.3157236042735279,-216.7327328284418,0.2674414,0.8250046000000001,0.3241695864483664
cpu_1t,gpu_4t,weights_das_4,weights_das_4,resident,0.801961,0.788266,1.017373576939764,1.707689027271908,0.9900584,0.8187428499999999,1.2092421936875541
cpu_1t,gpu_4t,weights_mvdr_1,weights_mvdr_1,resident,5.02134,2.2767014999999997,2.205532872886499,54.65948332516819,6.261250999999999,2.3175148,2.701709175708392
cpu_1t,gpu_4t,weights_mvdr_4,weights_mvdr_4,resident,5.4763695,2.2563975,2.4270411131017475,58.79756652650995,7.1978588,2.3045196,3.1233662755569536
cpu_4t,cpu_1t,audio_resident_1,audio_resident_1,host_input_output,0.29494750000000003,0.281875,1.0463769401330378,4.432144703718466,0.31764719999999996,0.3425112,0.9274067534141948
cpu_4t,cpu_1t,audio_resident_4,audio_resident_4,host_input_output,0.366564,0.356516,1.0281838683256852,2.7411311530864957,0.3856824,0.47062264999999937,0.8195151678313836
cpu_4t,cpu_1t,beam_apply_1,beam_apply_1,resident,0.026945,0.026721,1.0083829198009056,0.8313230655037973,0.02829055,0.029863999999999995,0.9473128181087599
cpu_4t,cpu_1t,beam_apply_4,beam_apply_4,resident,0.077121,0.076161,1.0126048765116002,1.244797136966569,0.07843455,0.0779242,1.0065493133070345
cpu_4t,cpu_1t,beam_select_1,beam_select_1,resident,0.119201,0.1175375,1.0141529299159842,1.3955419837081817,0.13226759999999999,0.12589955,1.0505804031865085
cpu_4t,cpu_1t,beam_select_4,beam_select_4,resident,0.192482,0.191026,1.007621999099599,0.7564343678889363,0.20349420000000001,0.21282054999999994,0.9561773992220209
cpu_4t,cpu_1t,fft_1024,fft_1024,resident,0.046976,0.04704,0.998639455782313,-0.13623978201635634,0.05244805,0.04909055,1.0683940188081007
cpu_4t,cpu_1t,fft_2048,fft_2048,resident,0.062753,0.079265,0.7916861161925188,-26.312686246075877,0.065249,0.09588419999999999,0.6804979339661801
cpu_4t,cpu_1t,fft_4096,fft_4096,resident,0.101185,0.1555055,0.6506843809382948,-53.68434056431288,0.1063098,0.20599334999999996,0.5160836502731764
cpu_4t,cpu_1t,fft_512,fft_512,resident,0.032,0.031424,1.0183299389002036,1.7999999999999905,0.03379454999999999,0.03896574999999998,0.8672885803558256
cpu_4t,cpu_1t,replay_1000_1_batch,replay_1000_1_batch,host_input_output,11.0140195,13.030475,0.8452508062829637,-18.308079988418392,18.12600005,17.102623549999993,1.0598373984557476
cpu_4t,cpu_1t,replay_1000_1_sequential,replay_1000_1_sequential,host_input_output,19.1149795,18.177945,1.0515478784868146,4.902095238972137,19.665609399999997,24.49230645,0.8029300727616854
cpu_4t,cpu_1t,replay_1000_4_batch,replay_1000_4_batch,host_input_output,18.686815,21.086076,0.8862158611208648,-12.839325481629693,29.662761999999997,26.164244899999996,1.133713665858555
cpu_4t,cpu_1t,replay_1000_4_sequential,replay_1000_4_sequential,host_input_output,26.655742,25.7603395,1.0347589557195083,3.3591355288477787,27.818056849999998,34.06005655,0.8167354863067601
