case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,112,6.66296,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,113,6.6508,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,113,6.680752,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,114,6.599343,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,114,6.639184,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,115,6.659792,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,115,6.697264,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,116,6.546319,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,116,6.581647,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,117,6.568239,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,117,6.600847,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,118,6.418988,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,118,6.453229,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,119,6.454349,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,119,6.485742,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,120,6.528718,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,120,6.562702,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,121,6.54811,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,121,6.583599,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,122,6.654319,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,122,6.679216,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,123,6.774801,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,123,6.797841,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,124,6.779441,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,124,6.813874,40.0,
