case,round,sampled_rss_peak_bytes,sampled_rss_increase_bytes,pss_after_bytes,steady_output_fps,python_copy_payload_MB_s,python_copy_read_write_MB_s,compressed_payload_MB_s
jetson_jetson_test_1280x720_throughput_nvdec_rgb,4,92626944,73064448,68990976,136.27429766954754,376.77117819676505,753.5423563935301,1.8585363093953435
jetson_jetson_test_1280x720_throughput_software_native,4,117379072,97488896,73946112,699.008255531447,0.0,0.0,9.533215328855096
jetson_jetson_test_1280x720_throughput_nvdec_native,4,82890752,63074304,59037696,998.045899809414,0.0,0.0,13.611550930439677
jetson_jetson_test_1280x720_paced_nvdec_rgb,4,101789696,81977344,77720576,24.976848213438114,69.0559899405137,138.1119798810274,0.34063928483048245
jetson_jetson_test_1280x720_throughput_software_rgb,4,129564672,109862912,100304896,77.00483387353378,212.9029646935462,425.8059293870924,1.0502074286962215
jetson_jetson_test_1280x720_paced_software_native,4,97230848,77651968,71057408,25.000814049157185,0.0,0.0,0.3409661357233552
jetson_jetson_test_1280x720_paced_software_rgb,4,106655744,87015424,79137792,25.009281729136877,69.14566212471763,138.29132424943526,0.34108161964782024
jetson_jetson_test_1280x720_paced_nvdec_native,4,86409216,66584576,57322496,24.98742580746107,0.0,0.0,0.3407835441874844
jetson_jetson_test_1280x720_paced_software_native,5,99581952,79790080,70809600,24.99694546972832,0.0,0.0,0.34091337525819576
jetson_jetson_test_1280x720_paced_nvdec_rgb,5,96866304,77160448,71153664,24.960464308110893,69.010691719065,138.02138343813,0.340415837830857
jetson_jetson_test_1280x720_throughput_nvdec_rgb,5,101474304,81772544,75319296,130.74000352083706,361.4699617344103,722.9399234688206,1.7830584915078176
jetson_jetson_test_1280x720_paced_nvdec_native,5,84762624,64962560,59202560,24.991135271129558,0.0,0.0,0.34083413459986717
jetson_jetson_test_1280x720_throughput_software_rgb,5,129593344,109780992,99784704,76.79021542002423,212.309587593283,424.619175186566,1.047280419015489
jetson_jetson_test_1280x720_throughput_nvdec_native,5,79450112,59977728,52796416,1015.8347918289304,0.0,0.0,13.854159421457952
jetson_jetson_test_1280x720_paced_software_rgb,5,109400064,89600000,79585280,25.008365730528418,69.14312957176496,138.28625914352992,0.3410691270743688
jetson_jetson_test_1280x720_throughput_software_native,5,114855936,95039488,73564160,695.1724120427041,0.0,0.0,9.480901323038138
jetson_jetson_test_1920x1080_throughput_nvdec_native,0,86396928,66789376,61732864,475.77349546578597,0.0,0.0,13.322363550508438
jetson_jetson_test_1920x1080_paced_nvdec_native,0,82628608,62918656,57583616,24.9646959364851,0.0,0.0,0.6990485143947504
jetson_jetson_test_1920x1080_paced_software_native,0,108376064,88633344,67904512,25.008136166321933,0.0,0.0,0.7002649052616635
jetson_jetson_test_1920x1080_throughput_nvdec_rgb,0,116887552,97206272,63162368,54.69586425434162,340.2520323534083,680.5040647068166,1.5315653252021038
jetson_jetson_test_1920x1080_paced_nvdec_rgb,0,116891648,97185792,65299456,24.942970617972424,155.16523162028287,310.33046324056573,0.6984401732529365
jetson_jetson_test_1920x1080_paced_software_rgb,0,134475776,114659328,92490752,25.137424095898826,156.3748878157674,312.7497756315348,0.7038851590524503
jetson_jetson_test_1920x1080_throughput_software_native,0,150179840,130482176,68298752,341.19081741291564,0.0,0.0,9.553848949109613
jetson_jetson_test_1920x1080_throughput_software_rgb,0,181145600,161333248,135658496,32.38546238354894,201.46348439558125,402.9269687911625,0.9068409815527043
jetson_jetson_test_1920x1080_throughput_nvdec_rgb,1,116690944,96980992,62968832,54.85431704883347,341.2377354973833,682.4754709947666,1.5360022384684633
jetson_jetson_test_1920x1080_paced_software_native,1,109080576,89268224,67713024,24.979182563000034,0.0,0.0,0.699454161424044
jetson_jetson_test_1920x1080_throughput_software_native,1,150274048,130576384,68430848,324.9879822061533,0.0,0.0,9.100145530927108
jetson_jetson_test_1920x1080_throughput_nvdec_native,1,80756736,60964864,55968768,475.7352861613359,0.0,0.0,13.321293633310976
jetson_jetson_test_1920x1080_throughput_software_rgb,1,182517760,162709504,140023808,32.701624300235686,203.4302644469062,406.8605288938124,0.9156939841580782
jetson_jetson_test_1920x1080_paced_nvdec_rgb,1,119533568,99827712,67580928,24.95651753090958,155.2495042562823,310.4990085125646,0.6988195069082489
jetson_jetson_test_1920x1080_paced_software_rgb,1,135626752,115765248,94749696,23.62893458716768,146.99087627985273,293.98175255970546,0.6616452153839417
jetson_jetson_test_1920x1080_paced_nvdec_native,1,82399232,62697472,57617408,24.975761304421844,0.0,0.0,0.6993583611093706
jetson_jetson_test_1920x1080_paced_nvdec_rgb,2,116883456,97071104,63417344,24.85794107508851,154.63627983991063,309.27255967982126,0.6960592199345428
jetson_jetson_test_1920x1080_paced_software_native,2,107708416,88006656,65714176,24.997618720968717,0.0,0.0,0.6999704011920725
jetson_jetson_test_1920x1080_throughput_nvdec_rgb,2,117035008,97349632,65595392,54.732164967815834,340.47785183178877,680.9557036635775,1.5325817990213795
jetson_jetson_test_1920x1080_paced_nvdec_native,2,89018368,69292032,61917184,24.974810720187957,0.0,0.0,0.6993317433408947
jetson_jetson_test_1920x1080_throughput_software_rgb,2,179437568,159784960,137839616,32.24616900979746,200.59696817614804,401.1939363522961,0.9029405604847394
jetson_jetson_test_1920x1080_paced_software_rgb,2,138334208,118624256,95050752,24.082058320082762,149.80966839757085,299.6193367951417,0.6743333519884163
jetson_jetson_test_1920x1080_throughput_software_native,2,150147072,130465792,68031488,335.6315187243328,0.0,0.0,9.398180340158085
jetson_jetson_test_1920x1080_throughput_nvdec_native,2,81899520,62427136,55278592,475.877987541246,0.0,0.0,13.325289483606207
jetson_jetson_test_1920x1080_paced_nvdec_native,3,79650816,60035072,53346304,24.95183197877641,0.0,0.0,0.6986883044988087
jetson_jetson_test_1920x1080_throughput_software_native,3,149970944,130265088,68433920,344.6794817171685,0.0,0.0,9.651536724090514
jetson_jetson_test_1920x1080_paced_software_native,3,106504192,86712320,65969152,25.01289452903801,0.0,0.0,0.7003981464754194
jetson_jetson_test_1920x1080_throughput_nvdec_native,3,86949888,67141632,62117888,475.03327903022813,0.0,0.0,13.301636392407904
jetson_jetson_test_1920x1080_paced_software_rgb,3,134881280,115154944,90864640,25.193285941682923,156.72239318602112,313.44478637204224,0.7054493735898943
jetson_jetson_test_1920x1080_throughput_software_rgb,3,181985280,162283520,142155776,32.96916027419782,205.0945522337298,410.1891044674596,0.9231853882441201
