case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,89,7.814304,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,89,7.860993,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,90,7.7832,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,90,7.843969,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,91,7.429436,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,91,7.467388,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,92,7.31145,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,92,7.345339,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,93,7.075895,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,93,7.113111,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,94,7.175,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,94,7.212344,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,95,7.592574,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,95,7.632798,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,96,7.74512,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,96,7.784704,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,97,8.019106,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,97,8.058563,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,98,7.841857,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,98,7.880801,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,99,7.63763,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,99,7.679518,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,100,7.507292,40.0,
