frame,pts_ns,raw_ready_ns,encoded_ready_ns,source_schedule_lateness_ms,encoder_ms,encode_path_ms,payload_bytes,rtp_bytes,rtp_packets,max_rtp_packet_bytes,packet_ready_ns,packet_ready_ms,scheduled_packet_latency_ms
138,5920000000,568628459866917,568628480805820,0.273655,20.766741,20.938903,8358,8483,11,1200,568628482396495,22.529578,22.803233000000002
139,5960000000,568628499849084,568628528809873,0.244654,28.842099,28.960789,11790,11957,14,1200,568628530491141,30.642057,30.886711000000002
140,6000000000,568628544604492,568628584138909,4.967709,39.468145,39.534417,35313,35765,35,1200,568628586329239,41.724747,46.692456
141,6040000000,568628601498474,568628630695810,21.91158,29.035382,29.197336,16253,16476,18,1200,568628632439670,30.941196,52.852776000000006
142,6080000000,568628649720770,568628678310131,30.12306,28.46344,28.589361,16125,16348,18,1200,568628679916838,30.196068,60.319128
143,6120000000,568628695893154,568628721718386,36.296628,25.65931,25.825232,16176,16399,18,1200,568628723381702,27.488548,63.785176
144,6160000000,568628736936582,568628755829188,37.300119,18.825054,18.892606,11746,11913,14,1200,568628757370102,20.43352,57.733639000000004
145,6200000000,568628770397360,568628786711376,30.756257,16.250591,16.314016,11788,11955,14,1200,568628787570554,17.173194,47.929451
146,6240000000,568628800673429,568628818802250,21.055238,18.018036,18.128821,11678,11845,14,1200,568628819599348,18.925919,39.981156999999996
147,6280000000,568628830369682,568628843177193,10.725476,12.748118,12.807511,7929,8054,11,1200,568628843889458,13.519776,24.245252
148,6320000000,568628859794765,568628874148598,0.152414,14.296776,14.353833,8187,8312,11,1200,568628874913503,15.118738,15.271152
149,6360000000,568628899807237,568628914589491,0.16303,14.723118,14.782254,8082,8207,11,1200,568628915370172,15.562935,15.725964999999999
