scenario,audio_profile,people,audio_streams,beams_per_person,cameras,payload_mbps,modeled_ipv4_mbps,recommended_link_mbps,reserve_factor,model_basis,video_profile
selected_beam_shared_camera,opus_mono_16k_24k_20ms/noise,2,2,1,1,3.8986879999999995,4.148909333333332,5.382733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/noise,3,3,1,1,3.9226879999999995,4.1953093333333324,5.4407332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/noise,4,4,1,1,3.9466879999999995,4.241709333333333,5.498733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/noise,8,8,1,1,4.042687999999999,4.427309333333333,5.7307332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/noise,16,16,1,1,4.234687999999999,4.798509333333333,6.194733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/noise,32,32,1,1,4.618688,5.540909333333333,7.122733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_shared_camera,opus_mono_16k_24k_20ms/noise,64,64,1,1,5.3866879999999995,7.0257093333333325,8.978733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/noise,1,4,4,1,3.9466879999999995,4.241709333333333,5.498733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/noise,2,8,4,1,4.042687999999999,4.427309333333333,5.7307332867961955,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/noise,3,12,4,1,4.138687999999999,4.612909333333333,5.962733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/noise,4,16,4,1,4.234687999999999,4.798509333333333,6.194733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/noise,8,32,4,1,4.618688,5.540909333333333,7.122733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/noise,16,64,4,1,5.3866879999999995,7.0257093333333325,8.978733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/noise,32,128,4,1,6.922687999999999,9.995309333333331,12.690733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
four_candidates_shared_camera,opus_mono_16k_24k_20ms/noise,64,256,4,1,9.994688,15.934509333333331,20.114733286796195,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/noise,1,1,1,1,3.8746879999999995,4.102509333333333,5.324733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_24k_20ms/noise,2,2,1,2,7.749375999999999,8.205018666666666,10.649466573592392,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
