stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,142,16570815382739,16570815765769,16570865476944,16570874084725,58.701986,49.711175,8.607781,30720
live,143,16570825382739,16570825685278,16570874286839,16570883047806,57.665067,48.601561,8.760967,30720
live,144,16570835382739,16570835694163,16570883241568,16570897025794,61.643055,47.547405,13.784226,30720
live,146,16570855382739,16570855591644,16570897219236,16570905195874,49.813135,41.627592,7.976638,30720
live,147,16570865382739,16570865767444,16570905391620,16570913254720,47.871981,39.624176,7.8631,30720
live,148,16570875382739,16570875641607,16570913432482,16570921212158,45.829419,37.790875,7.779676,30720
live,149,16570885382739,16570885619164,16570921358303,16570928317425,42.934686,35.739139,6.959122,30720
live,151,16570905382739,16570905747688,16570928450258,16570935185345,29.802606,22.70257,6.735087,30720
live,152,16570915382739,16570917174638,16570935311203,16570942043026,26.660287,18.136565,6.731823,30720
live,153,16570925382739,16570925578609,16570942152979,16570948803297,23.420558,16.57437,6.650318,30720
live,154,16570935382739,16570935562662,16570948918818,16570955684434,20.301695,13.356156,6.765616,30720
live,155,16570945382739,16570945533435,16570955796019,16570962396384,17.013645,10.262584,6.600365,30720
live,156,16570955382739,16570955568496,16570962517954,16570969234577,13.851838,6.949458,6.716623,30720
live,157,16570965382739,16570965736488,16570969364626,16570976060481,10.677742,3.628138,6.695855,30720
live,158,16570975382739,16570975648252,16570976169794,16570982802672,7.419933,0.521542,6.632878,30720
live,159,16570985382739,16570985526992,16570985587120,16570992217150,6.834411,0.060128,6.63003,30720
live,160,16570995382739,16570995505925,16570995566725,16571052648515,57.265776,0.0608,57.08179,30720
live,161,16571005382739,16571005602939,16571052839589,16571059730070,54.347331,47.23665,6.890481,30720
live,162,16571015382739,16571015554288,16571059863767,16571066793993,51.411254,44.309479,6.930226,30720
live,163,16571025382739,16571025514373,16571066916010,16571073764026,48.381287,41.401637,6.848016,30720
live,164,16571035382739,16571035506938,16571073895964,16571080606219,45.22348,38.389026,6.710255,30720
live,166,16571055382739,16571055535173,16571080726668,16571087383482,32.000743,25.191495,6.656814,30720
live,167,16571065382739,16571065545306,16571087499483,16571094262315,28.879576,21.954177,6.762832,30720
live,168,16571075382739,16571075532559,16571094387468,16571101067098,25.684359,18.854909,6.67963,30720
live,169,16571085382739,16571085517284,16571101184348,16571107880906,22.498167,15.667064,6.696558,30720
live,170,16571095382739,16571095528633,16571107994252,16571114614137,19.231398,12.465619,6.619885,30720
live,171,16571105382739,16571105522575,16571114730363,16571121606667,16.223928,9.207788,6.876304,30720
live,172,16571115382739,16571115516260,16571121731021,16571128423227,13.040488,6.214761,6.692206,30720
live,173,16571125382739,16571125511353,16571128539613,16571135164330,9.781591,3.02826,6.624717,30720
live,174,16571135382739,16571135524142,16571135580271,16571142198429,6.81569,0.056129,6.618158,30720
live,175,16571145382739,16571145509572,16571145563268,16571152258483,6.875744,0.053696,6.695215,30720
live,176,16571155382739,16571155501433,16571155552121,16571162210599,6.82786,0.050688,6.658478,30720
live,177,16571165382739,16571165514990,16571165579663,16571172282589,6.89985,0.064673,6.702926,30720
live,178,16571175382739,16571175514083,16571175568548,16571182195218,6.812479,0.054465,6.62667,30720
live,179,16571185382739,16571185504920,16571185560345,16571192215559,6.83282,0.055425,6.655214,30720
live,180,16571195382739,16571195502254,16571195560654,16571253415413,58.032674,0.0584,57.854759,30720
live,181,16571205382739,16571205605796,16571253623799,16571260730251,55.347512,48.018003,7.106452,30720
live,182,16571215382739,16571215535897,16571260868140,16571267854110,52.471371,45.332243,6.98597,30720
live,183,16571225382739,16571225505390,16571267985888,16571274959153,49.576414,42.480498,6.973265,30720
live,184,16571235382739,16571235492195,16571275094547,16571281973092,46.590353,39.602352,6.878545,30720
live,186,16571255382739,16571255523501,16571282093733,16571288845172,33.462433,26.570232,6.751439,30720
live,187,16571265382739,16571265526435,16571288966806,16571295809894,30.427155,23.440371,6.843088,30720
live,188,16571275382739,16571275532376,16571295918983,16571302580405,27.197666,20.386607,6.661422,30720
live,189,16571285382739,16571285526285,16571302706391,16571309471270,24.088531,17.180106,6.764879,30720
live,190,16571295382739,16571295550819,16571309584583,16571316332438,20.949699,14.033764,6.747855,30720
